occurrenceID,verbatimLocality,verbatimSex,weight,decimalLongitude,decimalLatitude,species_ID,day,month,year,name
16758,17,F,21.0,-109.07941499999636,31.937117000000445,2437981.0,4,12,1989,Peromyscus eremicus
16759,12,M,55.0,-109.07851899999636,31.938203000000414,2439541.0,4,12,1989,Dipodomys ordii
16760,6,,,-109.07883599999636,31.93907800000041,2491757.0,4,12,1989,Amphispiza bilineata
16761,19,F,27.0,-109.07791199999636,31.937438000000437,2437981.0,4,12,1989,Peromyscus eremicus
16762,12,M,28.0,-109.07851899999636,31.938203000000414,2438516.0,4,12,1989,Onychomys torridus
16763,20,F,14.0,-109.08019099999642,31.93633400000045,2437874.0,4,12,1989,Reithrodontomys megalotis
16764,17,F,47.0,-109.07941499999636,31.937117000000445,2439541.0,4,12,1989,Dipodomys ordii
16765,12,M,10.0,-109.07851899999636,31.938203000000414,2437874.0,4,12,1989,Reithrodontomys megalotis
16766,21,F,10.0,-109.07939799999636,31.936448000000453,2437874.0,4,12,1989,Reithrodontomys megalotis
16767,19,M,10.0,-109.07791199999636,31.937438000000437,2437874.0,4,12,1989,Reithrodontomys megalotis
16768,19,F,11.0,-109.07791199999636,31.937438000000437,2437874.0,4,12,1989,Reithrodontomys megalotis
16769,17,F,12.0,-109.07941499999636,31.937117000000445,2437874.0,4,12,1989,Reithrodontomys megalotis
16770,7,,,-109.0828159999964,31.938113000000413,2491757.0,4,12,1989,Amphispiza bilineata
16771,22,F,110.0,-109.07860199999637,31.93644100000042,2439531.0,4,12,1989,Dipodomys spectabilis
16772,18,,,-109.07863299999636,31.93712600000041,2491757.0,4,12,1989,Amphispiza bilineata
16773,12,,,-109.07851899999636,31.938203000000414,2491757.0,4,12,1989,Amphispiza bilineata
16774,7,M,12.0,-109.0828159999964,31.938113000000413,2437874.0,4,12,1989,Reithrodontomys megalotis
16775,19,F,7.0,-109.07791199999636,31.937438000000437,2439566.0,4,12,1989,Perognathus flavus
16776,19,M,7.0,-109.07791199999636,31.937438000000437,2439566.0,4,12,1989,Perognathus flavus
16777,17,F,50.0,-109.07941499999636,31.937117000000445,2439541.0,4,12,1989,Dipodomys ordii
16778,7,,,-109.0828159999964,31.938113000000413,2491757.0,4,12,1989,Amphispiza bilineata
16779,12,F,56.0,-109.07851899999636,31.938203000000414,2439541.0,4,12,1989,Dipodomys ordii
16780,19,M,12.0,-109.07791199999636,31.937438000000437,2437874.0,4,12,1989,Reithrodontomys megalotis
16781,17,M,43.0,-109.07941499999636,31.937117000000445,2439521.0,4,12,1989,Dipodomys merriami
16782,22,M,52.0,-109.07860199999637,31.93644100000042,2439521.0,4,12,1989,Dipodomys merriami
16783,6,F,10.0,-109.07883599999636,31.93907800000041,2437874.0,4,12,1989,Reithrodontomys megalotis
16784,17,M,10.0,-109.07941499999636,31.937117000000445,2437874.0,4,12,1989,Reithrodontomys megalotis
